decile,count,adopters,adoption_rate,min_score,mean_score,lift,capture,cumulative_capture,cumulative_lift,overall_rate
1,945,850,0.8994708994708994,0.1439949,0.85681516,6.675727461273416,0.6677140612725845,0.6677140612725845,6.677140612725845,0.13473751058425062
2,945,56,0.05925925925925926,0.075089626,0.09643418,0.4398126327427192,0.04399057344854674,0.7117046347211312,3.5585231736056557,0.13473751058425062
3,945,35,0.037037037037037035,0.06270364,0.0681039,0.2748828954641995,0.02749410840534171,0.7391987431264729,2.4639958104215767,0.13473751058425062
4,945,41,0.04338624338624339,0.0568295,0.059273865,0.32200567754377657,0.03220738413197172,0.7714061272584447,1.9285153181461117,0.13473751058425062
5,944,40,0.0423728813559322,0.052207667,0.054472726,0.31448466853955026,0.031421838177533384,0.8028279654359781,1.6056559308719562,0.13473751058425062
6,945,46,0.04867724867724868,0.048328765,0.050257824,0.3612746626100908,0.03613511390416339,0.8389630793401415,1.3982717989002358,0.13473751058425062
7,945,61,0.06455026455026455,0.04456777,0.046340723,0.4790816178090334,0.047918303220738416,0.8868813825608799,1.2669734036584,0.13473751058425062
8,945,43,0.0455026455026455,0.03942136,0.042044405,0.33771327157030223,0.03377847604084839,0.9206598586017283,1.1508248232521603,0.13473751058425062
9,945,55,0.0582010582010582,0.034848932,0.03713385,0.4319588357294563,0.04320502749410841,0.9638648860958366,1.0709609845509296,0.13473751058425062
10,944,46,0.048728813559322036,0.021036876,0.031557772,0.3616573688204828,0.03613511390416339,1.0,1.0,0.13473751058425062
