model,roc_auc,pr_auc,threshold,precision,recall,f1
LogisticRegression,0.8025153806054228,0.479427677939258,0.27219309836464695,0.5425756509500352,0.605655930871956,0.5723830734966593
XGBoost,0.8254723965877997,0.7298186134887332,0.4800749123096466,0.9550561797752809,0.6677140612725845,0.7859454461396209
