min_credit_score,min_monthly_spend,min_repayment_pct,sample_holders,market_holders_M
616.4373629133578,1912.412621308031,0.15514097953209707,45908,36.931662291472605
596.3327063851232,1991.6524083073027,0.14919584238215564,47507,38.2180116860022
621.515875194683,1925.8060114364084,0.15679462742340156,45293,36.436912524345836
611.8420817435618,1930.465342031515,0.15226191884576604,46374,37.30654585485646
575.650640873259,2026.456562606042,0.14423848297978872,48749,39.21716487424845
628.5373410982054,1978.5854783140467,0.155776394823402,44316,35.650944195105424
615.6683821194212,2084.370490030999,0.14983897786246198,45559,36.650901854517734
617.1638583166173,1963.831298921614,0.14462458451959356,45763,36.815013972393935
577.6868179605327,2045.2360256767802,0.1447903520076213,48576,39.077991362520116
597.023156273734,1992.2198860309816,0.15281300902664807,47369,38.10699466508595
592.2478814539548,2031.9902602258558,0.14321058760094232,47739,38.40464899652807
625.6058993309161,2019.939071343198,0.1467989064737072,44702,35.9614700652045
608.6319072048399,1994.5567945517996,0.144596813857048,46552,37.449741722415105
619.3656967962498,2090.0122189248873,0.14911616144425927,45114,36.292912185621134
596.6048519296398,1968.5427285509911,0.1487153065799154,47587,38.28236937928698
583.6343233070866,1935.4471002498544,0.15032814652033283,48496,39.013633669235325
603.2750872209501,2035.6188121759656,0.14669454493653794,46873,37.707976966720295
573.8290353662505,2069.2015122615817,0.14298065384067266,48730,39.20187992209332
619.657870319555,1908.0507479879848,0.15171579159802778,45651,36.724913201795246
607.8998639473239,1989.926537684536,0.14810577004323527,46605,37.49237869421627
615.4852644051224,2078.4975379374655,0.1522700249811007,45531,36.62837666186807
591.2715580877921,2049.9237237845737,0.144130004562064,47734,38.40062664069777
628.2418814636942,2098.3615432995257,0.14270666032941073,44123,35.49568126005588
623.5872672793319,2006.2827623194487,0.14622441371827938,44961,36.169828097213994
616.7030098244257,2031.9991437602303,0.1493482098449108,45614,36.69514776865103
581.678322471118,1960.4960562275855,0.148411079612527,48566,39.069946650859514
598.0032602236221,2089.5071199331983,0.154654538329102,46956,37.774748073503254
572.6282259472338,1973.2670977113073,0.14816756466289235,48990,39.41104242526886
579.2573695240528,2047.7021425373257,0.15045661769404617,48357,38.90181217715301
610.9829371945473,1980.6280408238163,0.1514027338866329,46316,37.25988652722499
614.685729354469,2012.3637860125998,0.14282747087468717,45971,36.982343974934366
628.0505839460526,2043.9565070043093,0.15022700065269284,44196,35.55440765517825
589.5495214882891,2001.7868303502707,0.14767246889098257,47966,38.58726395122364
592.2275823620921,2081.417265381902,0.1488192019152488,47486,38.201117791514946
598.1733486765485,1983.860197585562,0.14400431097742875,47450,38.172156829536796
581.3682815450571,2029.4143596286651,0.15424230848472967,48238,38.8060801083919
577.7952903201283,1968.4724866600109,0.15663606376212785,48574,39.07638242018799
598.542295573556,1981.6313336462026,0.142834032309444,47474,38.191464137522225
583.614560943053,1988.0100216467106,0.15152059144217023,48303,38.85837073418579
610.1888396809507,1925.1614036624571,0.15395766100932537,46466,37.380557202133964
596.2291151323399,1918.3447358118012,0.14677211382974834,47805,38.45774409348802
619.9606917634702,2033.4979846293515,0.15431333377294826,45209,36.369336946396814
612.0159061201349,2031.1035476686104,0.1519853257614945,45973,36.983952917266485
588.7419984829224,2032.581942842019,0.15643743948406605,47760,38.42154289101533
619.9355880837121,1903.9532890685384,0.15721507217030659,45571,36.660555508510456
618.2858614498081,1965.309368534356,0.14313519170998057,45674,36.74341603861462
593.2487027418105,1939.5619694518393,0.1491740664154051,47859,38.501185536455246
587.2996862358146,2055.6302845088026,0.15070481681367326,47871,38.51083919044796
610.9497302384985,2072.126080279226,0.14470114849811477,46127,37.107841476839695
578.3851490165586,1949.3360754452294,0.1475442874564104,48776,39.23888559573207
581.9944921485065,2033.5698317695974,0.15731471171634692,48160,38.743331357439246
570.4417361850603,1925.8725606916548,0.14274345684513706,49333,39.68697603522737
617.2154626501283,1955.0305051203427,0.14928761897286574,45742,36.79812007790668
609.8910513955219,1927.730899246684,0.15513981932577295,46516,37.420780760436955
612.3099227175801,1956.7041533198458,0.14735851894078933,46273,37.22529426708443
616.8437418613181,2034.9473094698556,0.1496969775413273,45604,36.68710305699043
597.5349465323004,2082.0653820370503,0.1571706861868197,47007,37.81577610297231
